x,Ch1_1
27162.0,9375.0
27163.0,9115.0
27164.0,8573.0
27165.0,10081.0
27167.0,6043.0
27168.0,5547.0
27169.0,4501.0
27170.0,6269.0
27183.0,1454.0
27196.0,1433.0
27199.0,1469.0
27203.0,1436.0
27205.0,1477.0
27209.0,1445.0
27210.0,1496.0
27225.0,1444.0
27226.0,11736.0
27282.0,7465.0
27295.0,15116.0
27334.0,11145.0
27335.0,10574.0
27336.0,9571.0
27337.0,9341.0
27338.0,8643.0
27339.0,10259.0
27341.0,6056.0
27342.0,5785.0
27343.0,4530.0
27344.0,6295.0
27357.0,1449.0
27367.0,1466.0
27373.0,1435.0
27377.0,1479.0
27384.0,1431.0
27386.0,1490.0
27387.0,1431.0
27399.0,1472.0
27400.0,13381.0
27407.0,6750.0
27467.0,12365.0
27469.0,15448.0
27508.0,11464.0
27509.0,10952.0
27510.0,9712.0
27511.0,9342.0
27512.0,8654.0
27513.0,10417.0
27515.0,6208.0
27516.0,5628.0
27517.0,4645.0
27518.0,6424.0
27531.0,1429.0
27540.0,1476.0
27563.0,1420.0
27574.0,1455.0
27575.0,12008.0
27643.0,15696.0
27682.0,11606.0
27683.0,11085.0
27684.0,9817.0
27685.0,9421.0
27686.0,8811.0
27687.0,10430.0
27689.0,6306.0
27690.0,5677.0
27691.0,4788.0
27692.0,6522.0
27705.0,1426.0
27726.0,1486.0
27747.0,1443.0
27748.0,12339.0
27802.0,7704.0
27817.0,15872.0
27856.0,11622.0
27857.0,11074.0
27858.0,9892.0
27859.0,9514.0
27860.0,9231.0
27861.0,10416.0
27862.0,13905.0
27863.0,6407.0
27864.0,6002.0
27865.0,4807.0
27866.0,6225.0
27867.0,6435.0
27923.0,12320.0
27931.0,6926.0
27962.0,7948.0
27978.0,7680.0
27989.0,12764.0
27990.0,11190.0
27991.0,15542.0
28004.0,5862.0
28027.0,7286.0
28030.0,11828.0
28031.0,11440.0
28032.0,10113.0
28033.0,9712.0
28035.0,8723.0
28036.0,8197.0
28037.0,9588.0
28038.0,12770.0
28039.0,5994.0
28040.0,5697.0
28041.0,4618.0
28042.0,6221.0
28043.0,6298.0
28100.0,12768.0
28154.0,7693.0
28167.0,16030.0
28206.0,11815.0
28207.0,11570.0
28208.0,10150.0
28209.0,9717.0
28210.0,9153.0
28211.0,10593.0
28212.0,13179.0
28214.0,6083.0
28215.0,4820.0
28216.0,6465.0
28230.0,1447.0
28238.0,1478.0
28251.0,1437.0
28253.0,1479.0
28259.0,1444.0
28262.0,1478.0
28271.0,1426.0
28272.0,13000.0
28328.0,7663.0
28341.0,16231.0
28380.0,12031.0
28381.0,11619.0
28382.0,10342.0
28383.0,9835.0
28384.0,9343.0
28385.0,10723.0
28387.0,6481.0
28388.0,5918.0
28389.0,4870.0
28390.0,6846.0
28404.0,1469.0
28422.0,1443.0
28428.0,1476.0
28435.0,1430.0
28446.0,1465.0
28447.0,13385.0
28457.0,7242.0
28513.0,13033.0
28515.0,16222.0
28554.0,12219.0
28555.0,12034.0
28556.0,10968.0
28557.0,10124.0
28558.0,9495.0
28559.0,10981.0
28560.0,14438.0
28561.0,6596.0
28562.0,6123.0
28563.0,4979.0
28564.0,6688.0
28579.0,1462.0
28597.0,1421.0
28606.0,1485.0
28619.0,1452.0
28620.0,14012.0
28674.0,7723.0
28689.0,16533.0
28728.0,12161.0
28730.0,11165.0
28731.0,10235.0
28732.0,9640.0
28733.0,11092.0
28735.0,6643.0
28736.0,6044.0
28737.0,4921.0
28738.0,6805.0
28753.0,1458.0
28767.0,1474.0
28769.0,1438.0
28777.0,1477.0
28779.0,1425.0
28789.0,1473.0
28790.0,1426.0
28792.0,1495.0
28793.0,1457.0
28794.0,13947.0
28851.0,7821.0
28863.0,16552.0
28903.0,12229.0
28904.0,11153.0
28905.0,10295.0
28906.0,9657.0
28907.0,11239.0
28909.0,6789.0
28910.0,6084.0
28911.0,4953.0
28912.0,6796.0
28926.0,1442.0
28938.0,1477.0
28944.0,1441.0
28946.0,1483.0
28947.0,1439.0
28964.0,1470.0
28966.0,1438.0
28967.0,1480.0
28968.0,14201.0
29021.0,7859.0
29036.0,16544.0
29076.0,12486.0
29077.0,11400.0
29078.0,10499.0
29079.0,9769.0
29080.0,11421.0
29082.0,6840.0
29083.0,6162.0
29084.0,5063.0
29085.0,6883.0
29099.0,1462.0
29105.0,1483.0
29118.0,1440.0
29119.0,1478.0
29122.0,1437.0
29124.0,1488.0
29139.0,1424.0
29140.0,1460.0
29141.0,14484.0
29151.0,7486.0
29208.0,13895.0
29210.0,16821.0
29224.0,6448.0
29241.0,8277.0
29246.0,7560.0
29250.0,12587.0
29251.0,11542.0
29252.0,10588.0
29253.0,9867.0
29254.0,11417.0
29255.0,14170.0
29256.0,6851.0
29257.0,6230.0
29258.0,5050.0
29259.0,6917.0
29274.0,1464.0
29277.0,1434.0
29283.0,1473.0
29284.0,1444.0
29294.0,1470.0
29315.0,1438.0
29316.0,14313.0
29324.0,7482.0
29382.0,13846.0
29384.0,16970.0
29397.0,6601.0
29416.0,8380.0
29420.0,7590.0
29424.0,12517.0
29425.0,11585.0
29426.0,10591.0
29427.0,9980.0
29428.0,11348.0
29429.0,14833.0
29430.0,7036.0
29431.0,6379.0
29432.0,5057.0
29433.0,7010.0
29448.0,1464.0
29449.0,1425.0
29455.0,1476.0
29457.0,1437.0
29467.0,1474.0
29474.0,1430.0
29477.0,1465.0
29488.0,1440.0
29489.0,14943.0
29501.0,7506.0
29556.0,14232.0
29558.0,16804.0
29598.0,12974.0
29599.0,12152.0
29600.0,10727.0
29601.0,9931.0
29602.0,11454.0
29604.0,6998.0
29605.0,6180.0
29606.0,5141.0
29607.0,7194.0
29623.0,1454.0
29641.0,1494.0
29662.0,1432.0
29663.0,14647.0
29718.0,8111.0
29732.0,17051.0
29772.0,12921.0
29773.0,12084.0
29774.0,10848.0
29775.0,10102.0
29776.0,11574.0
29778.0,7027.0
29779.0,6244.0
29780.0,5127.0
29781.0,7223.0
29796.0,1452.0
29799.0,1476.0
29808.0,1440.0
29809.0,1471.0
29815.0,1435.0
29818.0,1480.0
29819.0,1418.0
29834.0,1478.0
29837.0,1438.0
29838.0,14469.0
29892.0,8315.0
29906.0,17089.0
29920.0,6874.0
29937.0,8561.0
29942.0,7718.0
29946.0,13184.0
29947.0,12234.0
29948.0,10930.0
29949.0,10200.0
29950.0,11882.0
29951.0,15070.0
29952.0,7007.0
29953.0,6420.0
29954.0,5091.0
29955.0,6319.0
29956.0,6987.0
29970.0,1445.0
29974.0,1415.0
29998.0,1477.0
30010.0,1443.0
30011.0,15264.0
30067.0,8391.0
30080.0,17123.0
30095.0,6789.0
30109.0,8558.0
30116.0,7905.0
30120.0,13391.0
30121.0,12358.0
30122.0,11230.0
30123.0,10460.0
30124.0,11957.0
30125.0,15394.0
30126.0,7237.0
30127.0,6450.0
30128.0,5189.0
30129.0,6981.0
30130.0,7018.0
30186.0,13984.0
30241.0,8392.0
30254.0,17345.0
30294.0,13241.0
30295.0,12569.0
30296.0,11260.0
30297.0,10483.0
30298.0,11946.0
30300.0,7269.0
30301.0,6288.0
30302.0,5256.0
30303.0,7243.0
30317.0,1437.0
30324.0,1482.0
30329.0,1427.0
30335.0,1469.0
30344.0,1421.0
30358.0,1456.0
30359.0,16275.0
30367.0,7845.0
30426.0,14782.0
30428.0,17375.0
30468.0,13584.0
30469.0,12657.0
30470.0,11455.0
30471.0,10538.0
30472.0,12205.0
30473.0,12495.0
30474.0,7270.0
30475.0,6490.0
30476.0,5316.0
30477.0,7104.0
30478.0,7201.0
30534.0,16560.0
30542.0,7873.0
30599.0,15017.0
30600.0,14800.0
30601.0,13491.0
30602.0,17354.0
30617.0,7111.0
30633.0,8926.0
30638.0,8032.0
30642.0,13839.0
30643.0,13015.0
30644.0,11553.0
30645.0,10734.0
30646.0,12236.0
30647.0,15769.0
30648.0,7387.0
30649.0,6627.0
30650.0,5401.0
30651.0,6682.0
30652.0,7212.0
30666.0,1472.0
30673.0,1430.0
30685.0,1481.0
30706.0,1438.0
30707.0,16149.0
30758.0,8560.0
30775.0,17737.0
30815.0,13583.0
30816.0,12968.0
30817.0,11713.0
30818.0,10729.0
30819.0,12334.0
30820.0,15744.0
30821.0,7371.0
30822.0,6712.0
30823.0,5260.0
30824.0,5575.0
30825.0,7241.0
30840.0,1472.0
30860.0,1427.0
30873.0,1467.0
30874.0,1424.0
30879.0,1468.0
30880.0,17081.0
30891.0,8014.0
30947.0,15289.0
30949.0,17762.0
30989.0,13844.0
30990.0,13309.0
30991.0,11740.0
30992.0,11064.0
30993.0,12381.0
30994.0,14885.0
30995.0,7364.0
30996.0,6665.0
30997.0,5454.0
30998.0,7190.0
30999.0,7378.0
31058.0,16206.0
31067.0,7853.0
31121.0,15387.0
31123.0,17910.0
31163.0,14151.0
31164.0,13525.0
31165.0,11938.0
31166.0,11036.0
31167.0,12744.0
31169.0,7342.0
31170.0,6624.0
31171.0,5435.0
31172.0,7290.0
31173.0,7382.0
31229.0,17054.0
31243.0,8034.0
31294.0,15607.0
31295.0,15439.0
31296.0,14092.0
31297.0,17998.0
31313.0,7434.0
31330.0,9234.0
31333.0,7971.0
31337.0,14067.0
31338.0,13351.0
31339.0,11993.0
31340.0,11185.0
31341.0,12704.0
31343.0,7345.0
31344.0,6701.0
31345.0,5415.0
31346.0,7324.0
31362.0,1433.0
31366.0,1469.0
31374.0,1418.0
31389.0,1477.0
