x,Ch1_1,is_cusum_turning,is_steep_endpoint
21080.0,3056.0,1,0
21082.0,3355.0,0,1
21083.0,3283.0,1,1
21094.0,1465.0,0,1
21134.0,1457.0,0,1
21139.0,4296.0,1,1
21148.0,4246.0,0,1
21156.0,4512.0,1,0
21172.0,5131.0,0,1
21176.0,5139.0,1,0
21192.0,5383.0,0,1
21203.0,7933.0,1,0
21206.0,9907.0,0,1
21207.0,9541.0,0,1
21208.0,8220.0,1,0
21211.0,5234.0,1,0
21214.0,4350.0,1,0
21217.0,4258.0,0,1
21224.0,4549.0,0,1
21229.0,4806.0,1,0
21238.0,5166.0,0,1
21240.0,5130.0,1,0
21241.0,4698.0,0,1
21245.0,7468.0,0,1
21249.0,5927.0,1,1
21254.0,3044.0,1,0
21256.0,3484.0,0,1
21257.0,3286.0,0,1
21268.0,1471.0,1,1
21308.0,1465.0,0,1
21313.0,4409.0,1,1
21315.0,4115.0,1,0
21321.0,4169.0,0,1
21332.0,4719.0,1,0
21344.0,5163.0,0,1
21346.0,5154.0,1,0
21366.0,5320.0,0,1
21377.0,8051.0,1,0
21380.0,10223.0,0,1
21381.0,9808.0,0,1
21382.0,8479.0,1,0
21385.0,5355.0,1,0
21389.0,4329.0,1,0
21393.0,4344.0,0,1
21394.0,4393.0,0,1
21410.0,5191.0,0,1
21412.0,5157.0,1,0
21413.0,5161.0,0,1
21414.0,5217.0,1,0
21419.0,7731.0,0,1
21423.0,6169.0,1,1
21428.0,3134.0,1,0
21430.0,3569.0,0,1
21431.0,3406.0,1,1
21443.0,1456.0,1,1
21482.0,1444.0,0,1
21487.0,4470.0,1,1
21495.0,4322.0,0,1
21511.0,5126.0,0,1
21512.0,5120.0,1,0
21529.0,5381.0,1,0
21540.0,5455.0,0,1
21551.0,8246.0,1,0
21554.0,10396.0,0,1
21555.0,10071.0,0,1
21556.0,8700.0,1,0
21560.0,5047.0,1,0
21564.0,4379.0,0,1
21573.0,4698.0,0,1
21581.0,5282.0,0,1
21583.0,5118.0,1,0
21586.0,5252.0,1,0
21588.0,5123.0,1,1
21593.0,7863.0,0,1
21597.0,6225.0,1,1
21602.0,3149.0,1,0
21604.0,3664.0,0,1
21605.0,3461.0,0,1
21618.0,1435.0,1,1
21656.0,1464.0,0,1
21661.0,4450.0,1,1
21667.0,4275.0,0,1
21674.0,4635.0,1,0
21679.0,4838.0,1,0
21695.0,5440.0,0,1
21698.0,5303.0,1,0
21714.0,5497.0,0,1
21725.0,8324.0,1,0
21728.0,10507.0,0,1
21729.0,10458.0,0,1
21730.0,8909.0,1,0
21734.0,5134.0,1,0
21737.0,4565.0,1,0
21739.0,4426.0,0,1
21741.0,4441.0,1,0
21743.0,4507.0,0,1
21760.0,5356.0,0,1
21763.0,5179.0,0,1
21767.0,8098.0,0,1
21771.0,6337.0,1,1
21776.0,3140.0,1,0
21778.0,3682.0,0,1
21779.0,3476.0,1,1
21793.0,1441.0,1,1
21830.0,1470.0,1,1
21835.0,4585.0,1,1
21837.0,4178.0,1,0
21841.0,4337.0,1,0
21844.0,4432.0,0,1
21863.0,5381.0,0,1
21865.0,5280.0,1,0
21888.0,5530.0,0,1
21899.0,8585.0,1,0
21902.0,10893.0,0,1
21903.0,10554.0,0,1
21904.0,9201.0,1,0
21909.0,4796.0,1,0
21912.0,4448.0,1,1
21922.0,4827.0,0,1
21932.0,5376.0,0,1
21935.0,5293.0,1,1
21941.0,8150.0,0,1
21945.0,6417.0,1,1
21950.0,3252.0,1,0
21952.0,3769.0,0,1
21953.0,3509.0,0,1
21967.0,1441.0,1,1
22004.0,1473.0,0,1
22009.0,4567.0,1,1
22015.0,4356.0,0,1
22020.0,4630.0,1,0
22041.0,5314.0,1,0
22046.0,5448.0,1,0
22050.0,5627.0,0,1
22062.0,5691.0,0,1
22073.0,8674.0,1,0
22076.0,11052.0,0,1
22077.0,10855.0,0,1
22078.0,9374.0,1,0
22081.0,5795.0,1,0
22085.0,4576.0,1,0
22087.0,4541.0,1,0
22090.0,4660.0,0,1
22095.0,4808.0,0,1
22105.0,5388.0,0,1
22109.0,5388.0,0,1
22110.0,5385.0,1,0
22115.0,8315.0,0,1
22119.0,6498.0,1,1
