event_id,direction,start_idx,end_idx,start_x,end_x,start_y,end_y,duration,delta_y,max_abs_slope
1347,down,48847,48866,48848.0,48867.0,53078.0,35446.0,19,-17632.0,3003.600000000003
1348,up,48866,48873,48867.0,48874.0,35446.0,58578.0,7,23132.0,4953.400000000004
1349,down,48873,48896,48874.0,48897.0,58578.0,45093.0,23,-13485.0,896.5999999999956
1350,up,48896,48901,48897.0,48902.0,45093.0,47747.0,5,2654.0,561.4000000000044
1351,up,48902,48908,48903.0,48909.0,47957.0,48810.0,6,853.0,3353.2000000000016
1352,down,48908,48913,48909.0,48914.0,48810.0,49056.0,5,246.0,2662.599999999996
1353,up,48913,48917,48914.0,48918.0,49056.0,48406.0,4,-650.0,1353.000000000003
1354,down,48923,48931,48924.0,48932.0,48143.0,42668.0,8,-5475.0,1459.4000000000058
1355,up,49181,49190,49182.0,49191.0,44902.0,48518.0,9,3616.0,1426.5999999999942
1356,up,49301,49307,49302.0,49308.0,48247.0,49969.0,6,1722.0,428.20000000000005
1357,down,49322,49342,49323.0,49343.0,49812.0,26154.0,20,-23658.0,3547.199999999998
1358,up,49342,49348,49343.0,49349.0,26154.0,40596.0,6,14442.0,4856.600000000001
1359,down,49348,49360,49349.0,49361.0,40596.0,25692.0,12,-14904.0,3330.9999999999973
1360,up,49361,49368,49362.0,49369.0,25740.0,40936.0,7,15196.0,4967.200000000007
1361,down,49368,49380,49369.0,49381.0,40936.0,25372.0,12,-15564.0,3745.199999999998
1362,up,49381,49388,49382.0,49389.0,25571.0,41125.0,7,15554.0,5047.400000000001
1363,down,49388,49402,49389.0,49403.0,41125.0,25323.0,14,-15802.0,3645.4000000000024
1364,up,49402,49408,49403.0,49409.0,25323.0,41163.0,6,15840.0,5099.999999999995
1365,down,49408,49420,49409.0,49421.0,41163.0,25413.0,12,-15750.0,3401.000000000001
1366,up,49421,49428,49422.0,49429.0,25274.0,41225.0,7,15951.0,5096.799999999998
1367,down,49428,49440,49429.0,49441.0,41225.0,25340.0,12,-15885.0,3125.9999999999973
1368,up,49441,49448,49442.0,49449.0,25179.0,41173.0,7,15994.0,5057.800000000002
1369,down,49448,49460,49449.0,49461.0,41173.0,25144.0,12,-16029.0,3306.8
1370,up,49461,49468,49462.0,49469.0,25123.0,40939.0,7,15816.0,5068.999999999999
1371,down,49468,49480,49469.0,49481.0,40939.0,24900.0,12,-16039.0,3038.600000000003
1372,up,49481,49488,49482.0,49489.0,25017.0,41131.0,7,16114.0,5145.2
1373,down,49488,49500,49489.0,49501.0,41131.0,25184.0,12,-15947.0,3393.3999999999987
1374,up,49501,49508,49502.0,49509.0,25098.0,40724.0,7,15626.0,5078.400000000004
1375,down,49508,49520,49509.0,49521.0,40724.0,25047.0,12,-15677.0,3162.9999999999973
1376,up,49521,49528,49522.0,49529.0,24904.0,41331.0,7,16427.0,5195.2
1377,down,49528,49540,49529.0,49541.0,41331.0,24993.0,12,-16338.0,2920.5999999999995
1378,up,49541,49548,49542.0,49549.0,25020.0,41489.0,7,16469.0,5185.199999999996
1379,down,49548,49560,49549.0,49561.0,41489.0,25072.0,12,-16417.0,3037.5999999999995
1380,up,49561,49568,49562.0,49569.0,25034.0,41151.0,7,16117.0,5127.799999999998
1381,down,49568,49582,49569.0,49583.0,41151.0,24866.0,14,-16285.0,3491.600000000003
1382,up,49582,49588,49583.0,49589.0,24866.0,41568.0,6,16702.0,5232.000000000003
1383,down,49588,49600,49589.0,49601.0,41568.0,24866.0,12,-16702.0,3432.5999999999995
1384,up,49601,49608,49602.0,49609.0,24785.0,41217.0,7,16432.0,5188.799999999998
1385,down,49608,49622,49609.0,49623.0,41217.0,24735.0,14,-16482.0,3406.600000000003
1386,up,49622,49628,49623.0,49629.0,24735.0,41733.0,6,16998.0,5214.799999999998
1387,down,49628,49640,49629.0,49641.0,41733.0,24696.0,12,-17037.0,3035.2000000000053
1388,up,49641,49648,49642.0,49649.0,24601.0,41480.0,7,16879.0,5239.799999999998
1389,down,49648,49660,49649.0,49661.0,41480.0,24704.0,12,-16776.0,3076.9999999999973
1390,up,49661,49668,49662.0,49669.0,24824.0,41552.0,7,16728.0,5290.600000000009
1391,down,49668,49680,49669.0,49681.0,41552.0,24877.0,12,-16675.0,3760.3999999999987
1392,up,49681,49688,49682.0,49689.0,24722.0,41161.0,7,16439.0,5211.000000000003
1393,down,49688,49700,49689.0,49701.0,41161.0,24863.0,12,-16298.0,3373.8
1394,up,49701,49708,49702.0,49709.0,24801.0,41312.0,7,16511.0,5239.2
1395,down,49708,49722,49709.0,49723.0,41312.0,24566.0,14,-16746.0,3319.2000000000016
1396,up,49722,49728,49723.0,49729.0,24566.0,41518.0,6,16952.0,5261.600000000001
1397,down,49728,49740,49729.0,49741.0,41518.0,24621.0,12,-16897.0,3710.7999999999965
1398,up,49741,49748,49742.0,49749.0,24716.0,41264.0,7,16548.0,5313.400000000001
1399,down,49748,49760,49749.0,49761.0,41264.0,24692.0,12,-16572.0,3345.8
1400,up,49761,49768,49762.0,49769.0,24572.0,41781.0,7,17209.0,5367.799999999995
1401,down,49768,49782,49769.0,49783.0,41781.0,24755.0,14,-17026.0,3559.2000000000016
1402,up,49782,49788,49783.0,49789.0,24755.0,41477.0,6,16722.0,5270.400000000001
1403,down,49788,49800,49789.0,49801.0,41477.0,24616.0,12,-16861.0,3016.2000000000016
1404,up,49801,49808,49802.0,49809.0,24790.0,41407.0,7,16617.0,5282.2
1405,down,49808,49820,49809.0,49821.0,41407.0,24709.0,12,-16698.0,3355.8
1406,up,49821,49828,49822.0,49829.0,24776.0,41523.0,7,16747.0,5341.000000000003
1407,down,49828,49842,49829.0,49843.0,41523.0,25031.0,14,-16492.0,2976.800000000004
1408,up,49842,49848,49843.0,49849.0,25031.0,41839.0,6,16808.0,5315.2
1409,down,49848,49860,49849.0,49861.0,41839.0,24653.0,12,-17186.0,3342.2000000000016
1410,up,49861,49868,49862.0,49869.0,24678.0,41538.0,7,16860.0,5330.400000000004
1411,down,49868,49880,49869.0,49881.0,41538.0,24596.0,12,-16942.0,3296.2000000000016
1412,up,49881,49888,49882.0,49889.0,24596.0,41703.0,7,17107.0,5358.399999999993
1413,down,49888,49900,49889.0,49901.0,41703.0,24672.0,12,-17031.0,2969.3999999999987
1414,up,49901,49908,49902.0,49909.0,24453.0,41716.0,7,17263.0,5415.800000000006
1415,down,49908,49920,49909.0,49921.0,41716.0,24467.0,12,-17249.0,3335.2000000000016
1416,up,49921,49928,49922.0,49929.0,24692.0,41633.0,7,16941.0,5376.600000000001
1417,down,49928,49940,49929.0,49941.0,41633.0,24555.0,12,-17078.0,3145.8
1418,up,49941,49948,49942.0,49949.0,24701.0,41861.0,7,17160.0,5357.199999999996
